,source,target
639,63,68
640,63,70
641,63,65
642,64,69
643,64,749
644,64,67
645,64,750
646,64,39
647,64,2
648,65,1
649,65,304
650,65,183
651,65,751
652,65,752
653,65,278
654,65,194
655,65,753
656,65,754
657,66,152
658,66,151
659,66,150
660,66,148
661,66,755
662,66,149
663,66,145
664,66,147
665,66,144
666,66,143
667,66,142
668,66,141
669,66,139
670,66,146
671,66,138
672,66,756
673,66,757
674,66,758
675,66,759
676,66,137
677,66,760
678,66,761
679,66,136
680,66,135
681,66,762
682,66,763
683,66,134
684,66,130
685,67,131
686,67,69
687,67,80
688,67,121
689,67,39
690,67,2
691,67,64
692,68,754
693,69,121
694,69,67
695,69,39
696,69,64
697,70,764
698,70,765
699,71,766
700,71,767
701,71,768
702,71,769
703,72,754
704,72,770
705,73,771
706,73,167
707,73,651
708,73,169
709,73,166
710,73,168
711,73,12
712,73,164
713,73,165
714,73,127
715,73,162
716,73,47
717,73,772
718,73,163
719,73,160
720,73,159
721,73,157
722,73,161
723,73,155
724,73,154
725,73,156
726,73,773
727,73,153
728,74,158
729,75,175
730,75,174
731,75,445
732,75,171
733,75,34
734,75,170
735,75,585
736,76,195
737,76,62
738,76,10
739,76,172
740,76,173
741,76,176
742,76,1
743,76,79
744,77,179
745,77,180
746,77,182
747,77,455
748,77,178
749,77,559
750,77,177
751,78,183
752,78,181
753,78,79
754,79,62
755,79,87
756,79,774
757,79,2
758,79,455
759,79,84
760,79,61
761,79,747
762,80,33
763,80,129
764,80,196
765,80,140
766,80,193
767,81,203
768,81,190
769,81,80
770,81,199
771,81,75
772,81,67
773,81,34
774,81,24
775,81,9
776,81,455
777,81,79
778,81,50
779,81,4
780,81,198
781,82,204
782,82,209
783,82,205
784,82,34
785,83,194
786,83,91
787,83,197
788,83,445
789,83,37
790,83,191
791,83,192
792,83,190
793,83,188
794,83,189
795,83,187
796,83,80
797,83,186
798,83,184
799,83,185
800,84,775
801,84,79
802,84,776
803,85,240
804,85,244
805,85,105
806,85,777
807,85,239
808,85,238
809,85,778
810,85,91
811,85,235
812,85,197
813,85,237
814,85,37
815,85,234
816,85,232
817,85,187
818,85,231
819,85,230
820,85,233
821,85,236
822,85,779
823,85,229
824,85,227
825,85,780
826,85,228
827,85,226
828,85,224
829,85,186
830,85,225
831,85,781
832,85,223
833,85,221
834,85,222
835,85,218
836,86,782
837,86,206
838,86,783
839,86,91
840,86,197
841,86,37
842,86,204
843,86,202
844,86,200
845,86,242
846,86,201
847,87,784
848,88,274
849,88,273
850,88,269
851,88,272
852,88,270
853,88,268
854,88,271
855,88,785
856,88,267
857,88,266
858,88,265
859,88,264
860,88,263
861,88,261
862,88,260
863,88,259
864,88,258
865,88,262
866,88,256
867,88,257
868,88,255
869,88,254
870,88,252
871,88,250
872,88,251
873,89,80
874,89,276
875,89,85
876,89,226
877,89,34
878,89,44
879,90,97
880,90,278
881,90,275
882,90,277
883,90,786
884,90,281
885,91,300
886,91,297
887,91,296
888,91,301
889,91,295
890,91,294
891,91,291
892,91,292
893,91,293
894,91,787
895,91,34
896,91,290
897,91,289
898,91,288
899,92,305
900,92,299
901,92,1
902,92,37
903,92,298
904,93,92
905,93,788
906,93,309
907,93,789
908,93,308
909,93,310
910,93,307
911,93,306
912,93,37
913,93,303
914,93,278
915,93,304
916,93,194
917,93,67
918,93,1
919,93,302
920,94,34
921,94,78
922,94,442
923,94,95
924,94,285
925,94,59
926,94,1
927,94,286
928,94,36
929,94,284
930,94,287
931,94,790
932,94,161
933,94,791
934,94,625
935,94,283
936,94,282
937,94,279
938,95,792
939,95,793
940,95,794
941,95,36
942,95,795
943,96,340
944,96,335
945,96,796
946,96,797
947,96,798
948,96,334
949,96,332
950,97,331
951,97,172
952,97,333
953,97,330
954,97,329
955,98,37
956,98,799
957,98,327
958,98,326
959,98,1
960,98,324
961,98,328
962,98,322
963,98,321
964,98,325
965,98,446
966,98,320
967,98,323
968,98,317
969,98,319
970,98,318
971,98,315
972,98,316
973,98,312
974,98,311
975,98,299
976,98,314
977,98,313
978,99,338
979,99,337
980,99,336
981,100,342
982,100,339
983,100,341
984,101,104
985,101,800
986,101,357
987,101,358
988,101,801
989,101,356
990,101,351
991,101,440
992,102,354
993,102,352
994,102,89
995,102,355
996,102,350
997,102,353
998,102,802
999,102,803
1000,102,347
1001,102,346
1002,102,349
1003,102,804
1004,102,348
1005,102,70
1006,102,747
1007,102,4
1008,102,343
1009,102,344
1010,102,345
1011,103,356
1012,103,360
1013,103,359
1014,103,104
1015,103,1
1016,103,805
1017,103,806
1018,103,362
1019,103,807
1020,104,364
1021,104,357
1022,104,367
1023,104,363
1024,104,361
1025,104,360
1026,104,79
1027,104,805
1028,105,10
1029,105,172
1030,105,365
1031,106,366
1032,106,176
1033,107,172
1034,107,374
1035,107,370
1036,108,10
1037,108,1
1038,109,372
1039,109,115
1040,110,373
1041,110,57
1042,110,117
1043,110,375
1044,110,79
1045,111,386
1046,111,384
1047,111,385
1048,111,114
1049,111,172
1050,112,387
1051,112,808
1052,112,117
1053,112,809
1054,113,1
1055,113,59
1056,114,111
1057,114,385
1058,114,97
1059,114,117
1060,114,384
1061,114,79
1062,114,810
1063,115,393
1064,115,391
1065,115,389
1066,116,811
1067,116,392
1068,116,330
1069,116,14
1070,117,112
1071,117,394
1072,117,114
1073,117,111
1074,117,79
1075,117,110
1076,118,395
1077,119,409
1078,119,407
1079,119,408
1080,119,403
1081,119,405
1082,119,402
1083,119,28
1084,119,406
1085,119,400
1086,119,404
1087,119,401
1088,119,12
1089,119,399
1090,119,812
1091,119,398
1092,119,396
1093,119,397
1094,120,62
1095,120,87
1096,120,774
1097,120,2
1098,120,455
1099,120,84
1100,120,61
1101,120,747
1102,121,161
1103,121,67
1104,121,39
1105,121,64
1106,122,132
1107,122,126
1108,122,79
1109,123,371
1110,123,368
1111,123,369
1112,124,813
1113,124,814
1114,124,815
1115,125,816
1116,125,817
1117,125,152
1118,125,818
1119,125,819
1120,125,4
1121,126,21
1122,126,352
1123,126,1
1124,126,140
1125,127,2
1126,127,133
1127,128,2
1128,128,133
1129,129,2
1130,129,820
1131,129,821
1132,129,131
1133,129,140
1134,129,47
1135,129,5
1136,130,822
1137,131,2
1138,131,133
1139,132,823
1140,132,824
1141,132,825
1142,132,826
1143,133,827
1144,133,828
1145,133,829
1146,133,830
1147,133,831
1148,133,832
1149,133,833
1150,133,834
1151,133,835
1152,133,836
1153,133,837
1154,133,838
1155,133,839
1156,133,840
1157,133,841
1158,134,66
1159,135,842
1160,135,632
1161,135,843
1162,135,844
1163,135,845
1164,135,66
1165,136,846
1166,136,847
1167,136,848
1168,136,849
1169,136,850
1170,136,851
1171,136,852
1172,136,147
1173,136,853
1174,137,854
1175,138,855
1176,139,856
1177,139,857
1178,140,47
1179,140,129
1180,140,80
1181,140,33
1182,141,858
1183,141,859
1184,142,860
1185,142,80
1186,142,861
1187,142,862
1188,142,225
1189,142,863
1190,143,763
1191,144,864
1192,144,859
1193,144,865
1194,144,866
1195,144,867
1196,144,868
1197,144,869
1198,144,870
